source_file,rep_num,vowel_num,base_vowel,const_ctx,base_transcription,annotator,vowel.text,vowel.xmin,vowel.xmax,rep.text,rep.xmin,rep.xmax,forest.f1,forest.f2,praat.f1,praat.f2,forest.f1_z,forest.f2_z,praat.f1_z,praat.f2_z
b015_198,1,3,ɘ,p_ʎ,kʊɹəpɘʎc,sr,ɘ,0.8218661326123127,0.8811051460550845,kˈʊɹəpɘʎc,0.40655820309337115,1.4034304955279462,447,1258,520.927,1601.917,-0.6558195457889554,-0.8171775151587449,-0.39032183603980514,-0.030711468986580545
b015_198,2,1,ʊ,k_ɹ,kʊɹəpɘʎc,sr,ˈʊ,2.2761797187684296,2.345610388163667,kˈʊɹəpɘʎc,2.209296963846412,3.0637577753766547,459,968,484.193,1055.477,-0.5588325542406396,-1.62687452326202,-0.69279183075515,-1.6353561707952167
b015_198,2,2,ə,ɹ_p,kʊɹəpɘʎc,sr,ə,2.4335134374897476,2.483834748335837,kˈʊɹəpɘʎc,2.209296963846412,3.0637577753766547,418,1291,449.35,1335.583,-0.8902047753640521,-0.7250395797538894,-0.9796912162254702,-0.8128127829670746
b015_198,2,3,ɘ,p_ʎ,kʊɹəpɘʎc,sr,ɘ,2.6156893223249575,2.6774762483005357,kˈʊɹəpɘʎc,2.209296963846412,3.0637577753766547,478,1289,537.135,1549.543,-0.4052698176224729,-0.7306236970511534,-0.25686417626013786,-0.18450998595555348
b015_199,1,1,i,ɾ_c,aɾic,fp,i,0.952439379380621,1.027433372577331,ˈaɾic,0.6989113174660416,1.3600460091357134,276,2251,209.52,2219.902,-2.0378841753524557,1.955336722932815,-2.954466052414862,1.7840282207272224
b015_199,2,1,i,ɾ_c,aɾic,fp,i,3.510315698950797,3.593577243306072,ˈaɾic,3.2807616464663143,3.9319084747063173,368,2261,244.357,2290.407,-1.2943172401487013,1.9832573094191348,-2.667616071310205,1.9910692036366326
b015_199,1,1,ɪ,ɾ_c,ɐɾɪc,sr,ɪ,0.9411925192293775,1.0269588407913788,ˈɐɾɪc,0.7068082206095576,1.3825623723145388,274,2200,277.541,2187.828,-2.054048673943842,1.8129417318525838,-2.39437699294591,1.6898415320407971
b015_199,2,1,ɪ,ɾ_c,ɐɾɪc,sr,ɪ,3.481351265763087,3.581642114751852,ˈɐɾɪc,3.2926523280453894,3.971352334018943,469,2179,432.505,2181.706,-0.47801006128370976,1.7543085002313121,-1.118393972826439,1.6718640141715484
b015_200,1,1,ʊ,k_ɾ,aʈɳkʊɾi,fp,ˈʊ,1.1584493483076606,1.270541031717411,aʈɳkˈʊɾi,0.777337624714509,1.7502934367111431,500,1145,573.147,1165.272,-0.22746033311722724,-1.132680142454159,0.03966082645366971,-1.3129384029980586
b015_200,2,1,ʊ,k_ɾ,aʈɳkʊɾi,fp,ˈʊ,2.772569589408067,2.8712102708086475,aʈɳkˈʊɾi,2.3107518537598954,3.2747403310837493,509,1073,531.129,1134.638,-0.15472008945599036,-1.3337083651556618,-0.306317946289548,-1.4028964693826678
b015_200,1,1,ʊ,k_ɾ,æʈɳkʊɾi,sr,ˈʊ,1.131764248047016,1.2708816807881458,æʈɳkˈʊɾiː,0.7902131150992423,1.6938625830182878,474,1098,556.578,1145.941,-0.4375988148052449,-1.2639068989398623,-0.09676932932676714,-1.3697047208566755
b015_200,2,1,ʊ,k_ɾ,æʈɳkʊɾi,sr,ˈʊ,2.746604530915071,2.8680710906650435,æʈɳkˈʊɾiː,2.388851970612237,3.2901227632129872,501,1042,524.326,1079.875,-0.21937808382153426,-1.4202621832632534,-0.36233426289129267,-1.5637103882120842
b015_201,1,1,ʊ,ɳ_ɹ,aʈɳʊɹə,fp,ˈʊ,1.6293623263441692,1.8092741186268955,aʈɳˈʊɹə,1.2138517584531108,2.14339601858053,513,1080,540.765,1105.369,-0.12239109227321843,-1.314163954615238,-0.2269745350335712,-1.488846154210347
b015_201,2,1,ʊ,ɳ_ɹ,aʈɳʊɹə,fp,ˈʊ,3.205732315869009,3.338524353030069,aʈɳˈʊɹə,2.7645200633661324,3.608392041454158,461,1005,533.212,1203.006,-0.5426680556492537,-1.5235683532626367,-0.2891663973432842,-1.2021308794308834
b015_201,1,1,ʊ,ɳ_ɹ,æʈɳʊɹə,sr,ˈʊ,1.6233459054778534,1.768156617305306,æʈɳˈʊɹə,1.2286138967492586,2.0959777501264534,506,1082,555.078,1120.315,-0.1789668373430693,-1.308579837317974,-0.10912042074270378,-1.4449565785694127
b015_201,2,1,ʊ,ɳ_ɹ,aʈɳʊɹə,sr,ˈʊ,3.1993137453998117,3.311244693111171,aʈɳˈʊɹə,2.793910832324394,3.6156035818455035,459,1015,537.958,1211.277,-0.5588325542406396,-1.4956477667763168,-0.2500875441032608,-1.1778427300848267
b015_202,1,1,ʊ,ɳ_n,ʈɳʊntənkə,fp,ˈʊ,0.7358821029313276,0.8255348256143423,ʈɳˈʊntənkə,0.5608458348359178,1.5214107207253618,480,1e3,542.209,1847.675,-0.3891053190310869,-1.5375286465057967,-0.21508455103049653,0.690967530770185
b015_202,1,2,ə,t_n,ʈɳʊntənkə,fp,ə,0.9706868528154139,1.0603395754984286,ʈɳˈʊntənkə,0.5608458348359178,1.5214107207253618,420,1433,435.846,1635.034,-0.874040276772666,-0.32856725164814776,-1.090883975212676,0.06653803432539684
b015_202,2,1,ʊ,ɳ_n,ɜʈɳʊntənkə,fp,ˈʊ,2.853394029158724,2.9345083973004993,ɜʈɳˈʊntənkə,2.5374749111328625,3.5620774560816026,457,1234,565.159,1477.792,-0.5749970528320256,-0.8841869227259125,-0.0261128523666654,-0.39520990177334037
b015_202,2,2,ə,t_n,ɜʈɳʊntənkə,fp,ə,3.066852892689712,3.1693131471845857,ɜʈɳˈʊntənkə,2.5374749111328625,3.5620774560816026,409,1544,435.506,1646.495,-0.9629450190252888,-0.01864874164999757,-1.093683555933622,0.10019375668728185
b015_202,1,1,ʊ,ɳ_n,ʈɳʊntənkɛ,sr,ˈʊ,0.7325469993733548,0.8437422231324551,ʈɳˈʊntənkɛ,0.568930186381779,1.524181928868014,466,1064,555.985,1818.201,-0.5022568091707887,-1.3588368929933496,-0.10165212746653378,0.6044158545731504
b015_202,1,2,ə,t_n,ʈɳʊntənkɛ,sr,ə,0.970507388727846,1.0749377394326205,ʈɳˈʊntənkɛ,0.568930186381779,1.524181928868014,419,1432,436.001,1653.353,-0.8821225260683591,-0.33135931029677973,-1.0896076957663627,0.12033257039968195
b015_202,2,1,ʊ,ɳ_n,ʈɳʊntənkɛ,sr,ˈʊ,2.841225480863272,2.951602303877275,ʈɳˈʊntənkɛ,2.5432509901256655,3.532526904404746,457,1234,565.159,1477.792,-0.5749970528320256,-0.8841869227259125,-0.0261128523666654,-0.39520990177334037
b015_202,2,2,ə,t_n,ʈɳʊntənkɛ,sr,ə,3.0593511072957065,3.167099910714138,ʈɳˈʊntənkɛ,2.5432509901256655,3.532526904404746,411,1531,435.506,1646.495,-0.9467805204339029,-0.05494550408221335,-1.093683555933622,0.10019375668728185
b015_204,1,1,ə,c_l,cələṯaɾaʈ,fp,ˈə,0.6016621799495132,0.6733915765116,cˈələṯaɾaʈ,0.5261575519894218,1.398236004928477,507,1747,517.392,1835.869,-0.17088458804737633,0.5481391640222951,-0.4194292414766956,0.6562987009818225
b015_204,1,2,ə,l_ṯ,cələṯaɾaʈ,fp,ə,0.7337952788796731,0.813075138237769,cˈələṯaɾaʈ,0.5261575519894218,1.398236004928477,495,1606,510.561,1599.373,-0.26787157959569213,0.1544588945651854,-0.4756761117848717,-0.038182035053122086
b015_204,1,3,a,ṯ_ɾ,cələṯaɾaʈ,fp,a,0.9225568487799015,0.97918531974997,cˈələṯaɾaʈ,0.5261575519894218,1.398236004928477,587,1534,582.242,1527.906,0.4756953556080625,-0.0465693281363174,0.11454961073896489,-0.24804797258360667
b015_204,1,4,a,ɾ_ʈ,cələṯaɾaʈ,fp,a,1.058465179108066,1.1490707326601755,cˈələṯaɾaʈ,0.5261575519894218,1.398236004928477,565,1671,618.656,1699.456,0.2978858711028168,0.33594270672626436,0.4143847059522429,0.2557160245528979
b015_204,2,1,ə,c_l,cələṯaɾaʈ,fp,ˈə,2.0853281193653084,2.157057515927395,cˈələṯaɾaʈ,2.0211491855992305,2.7988468535881714,508,1782,517.116,1759.032,-0.16280233875168335,0.6458612167244145,-0.42170184229722846,0.43066352611748204
b015_204,2,2,ə,l_ṯ,cələṯaɾaʈ,fp,ə,2.209910755499459,2.2740896892655367,cˈələṯaɾaʈ,2.0211491855992305,2.7988468535881714,454,1608,476.647,1589.906,-0.5992438007191045,0.16004301186244937,-0.7549260546382552,-0.06598229014429866
b015_204,2,3,a,ṯ_ɾ,cələṯaɾaʈ,fp,a,2.383571399807669,2.4326494079817285,cˈələṯaɾaʈ,2.0211491855992305,2.7988468535881714,456,1564,452.899,1515.198,-0.5830793021277185,0.037192431322642105,-0.9504685339353642,-0.2853655643971341
b015_204,2,4,a,ɾ_ʈ,cələṯaɾaʈ,fp,a,2.5006035731458107,2.610085283687943,cˈələṯaɾaʈ,2.0211491855992305,2.7988468535881714,531,1621,605.491,1624.282,0.02308939504925531,0.19633977429466518,0.30598329362503923,0.034964321138502126
b015_204,1,1,ɘ,c_l,cɘləṯəɾæʈ,sr,ˈɘ,0.607490990270078,0.6720186511253827,cˈɘləṯəɾæʈ,0.5331740784121881,1.3888286463197792,514,1717,524.763,1747.06,-0.11430884297752544,0.4643774045633356,-0.358735978258783,0.39550723014710476
b015_204,1,2,ə,l_ṯ,cɘləṯəɾæʈ,sr,ə,0.7226951676979296,0.8142081005376746,cˈɘləṯəɾæʈ,0.5331740784121881,1.3888286463197792,508,1594,523.93,1587.184,-0.16280233875168335,0.12095419078160162,-0.36559495102510053,-0.07397556091203725
b015_204,1,3,ə,ṯ_ɾ,cɘləṯəɾæʈ,sr,ə,0.9064532634945573,0.9773019856930695,cˈɘləṯəɾæʈ,0.5331740784121881,1.3888286463197792,562,1546,544.865,1540.109,0.27363912321573786,-0.013064624352733601,-0.19321488516334417,-0.21221333511897972
b015_204,1,4,æ,ɾ_ʈ,cɘləṯəɾæʈ,sr,æ,0.9994422113801045,1.158286552186885,cˈɘləṯəɾæʈ,0.5331740784121881,1.3888286463197792,656,1627,642.57,1620.141,1.0333705570108784,0.21309212618645706,0.6112940393660498,0.022804095477515884
b015_204,2,1,ɘ,c_l,cɘləṯəɾæʈ,sr,ˈɘ,2.085752619286654,2.150269775824073,cˈɘləṯəɾæʈ,2.008862538889104,2.8370250119969134,508,1782,514.923,1784.721,-0.16280233875168335,0.6458612167244145,-0.4397591379473277,0.506100386055924
b015_204,2,2,ə,l_ṯ,cɘləṯəɾæʈ,sr,ə,2.2052731341775096,2.2761669772286335,cˈɘləṯəɾæʈ,2.008862538889104,2.8370250119969134,469,1613,476.647,1589.906,-0.47801006128370976,0.1740033051056093,-0.7549260546382552,-0.06598229014429866
b015_204,2,3,ə,ṯ_ɾ,cɘləṯəɾæʈ,sr,ə,2.3856855910553665,2.43894974826838,cˈɘləṯəɾæʈ,2.008862538889104,2.8370250119969134,473,1575,475.936,1530.579,-0.44568106410093783,0.06790507645759393,-0.7607804719694093,-0.24019859243586036
b015_204,2,4,æ,ɾ_ʈ,cɘləṯəɾæʈ,sr,æ,2.4647304011278033,2.615520479998448,cˈɘləṯəɾæʈ,2.008862538889104,2.8370250119969134,575,1617,596.793,1619.739,0.37870836405974667,0.18517153970013725,0.23436343153449474,0.021623605084925404
b015_205,1,1,ɜ,k_ʈ,akɜʈic,fp,ˈɜ,1.7838838198363869,1.8491422502656816,akˈɜʈic,1.3922482767502962,2.417444794188862,559,1733,560.939,1785.329,0.2493923753286589,0.5090503429414474,-0.0608605895501674,0.5078858043611351
b015_205,1,2,i,ʈ_c,akɜʈic,fp,i,1.9429512440077927,2.048996193455397,akˈɜʈic,1.3922482767502962,2.417444794188862,457,2297,455.662,2309.384,-0.5749970528320256,2.083771420769886,-0.9277178235472091,2.0467959851793864
b015_205,2,1,ɜ,k_ʈ,akɜʈic,fp,ˈɜ,4.032355800319203,4.089774157616535,akˈɜʈic,3.776583117812901,4.595987393745814,528,1620,532.534,1657.047,-0.0011573528378236461,0.19354771564603318,-0.2947490906632875,0.1311801612211464
b015_205,2,2,i,ʈ_c,akɜʈic,fp,i,4.173291768230838,4.293348333488898,akˈɜʈic,3.776583117812901,4.595987393745814,406,2293,401.778,2335.039,-0.9871917669123679,2.072603186175358,-1.3714019634514292,2.1221330026468137
b015_205,1,1,ɘ,k_ʈ,ɐkɘʈɪc,sr,ˈɘ,1.7864018505551058,1.8750485775900225,ɐkˈɘʈɪc,1.4090194195765215,2.470752909264244,513,1732,541.406,1780.574,-0.12239109227321843,0.5062582842928154,-0.22169650196849458,0.49392254113534656
b015_205,1,2,ɪ,ʈ_c,ɐkɘʈɪc,sr,ɪ,1.9535319856018276,2.069556594866105,ɐkˈɘʈɪc,1.4090194195765215,2.470752909264244,409,2274,412.15,2270.191,-0.9629450190252888,2.0195540718513505,-1.2859982833406995,1.9317040449883567
b015_205,2,1,ɘ,k_ʈ,ɐkɘʈɪc,sr,ˈɘ,4.030506548665494,4.103006235989665,ɐkˈɘʈɪc,3.776511821175329,4.664611817588577,526,1626,530.872,1696.372,-0.017321851429209615,0.2103000675378251,-0.30843409995214566,0.24665972512317538
b015_205,2,2,ɪ,ʈ_c,ɐkɘʈɪc,sr,ɪ,4.177939820098913,4.282177040452001,ɐkˈɘʈɪc,3.776511821175329,4.664611817588577,406,2293,413.213,2258.561,-0.9871917669123679,2.072603186175358,-1.277245476557272,1.8975520468146616
b015_206,1,1,a,p_p,pap,fp,ˈa,0.4282796069239091,0.5733945108443665,pˈap,0.40140647656826883,1.003364596534611,777,1371,768.867,1345.762,2.0113227217897296,-0.5016748878633307,1.6512312344050832,-0.7829217090711118
b015_206,2,1,a,p_p,pap,fp,ˈa,1.8552428288084073,2.003045045764429,pˈap,1.817620446310511,2.3443338012810604,738,1402,745.967,1395.642,1.6961149992577031,-0.41512106975573926,1.4626712387884504,-0.636446931005423
b015_206,1,1,ɐ,p_p,pɐp,sr,ˈɐ,0.4234624139914124,0.5851283093592274,pˈɐp,0.40607898438196993,0.9999309539981263,777,1371,768.867,1345.762,2.0113227217897296,-0.5016748878633307,1.6512312344050832,-0.7829217090711118
b015_206,2,1,ɐ,p_p,pɐp,sr,ˈɐ,1.851241166075736,2.0091125121006117,pˈɐp,1.8233487021137438,2.394490893122125,738,1402,745.967,1395.642,1.6961149992577031,-0.41512106975573926,1.4626712387884504,-0.636446931005423
b015_207,1,1,a,c_m,caməɳəlaɭəŋaʈ,fp,ˈa,0.78667461319183285,0.9284442970480656,cˈaməɳəlaɭəŋaʈ,0.5031352454793674,2.1081705948517167,762,1484,767.86,1485.59,1.890088982354335,-0.18617226056791658,1.6429395350345182,-0.3723107373916996
b015_207,1,2,ə,m_ɳ,caməɳəlaɭəŋaʈ,fp,ə,1.0246451539505093,1.0854035898888947,cˈaməɳəlaɭəŋaʈ,0.5031352454793674,2.1081705948517167,638,1569,647.536,1541.66,0.8878900696884047,0.05115272456580202,0.6521843860137432,-0.2076587565147314
b015_207,1,3,ə,ɳ_l,caməɳəlaɭəŋaʈ,fp,ə,1.166414837806742,1.2676788977040512,cˈaməɳəlaɭəŋaʈ,0.5031352454793674,2.1081705948517167,400,2026,454.357,2047.813,-1.0356852626865258,1.3271235269906185,-0.9384632730790736,1.278681426770802
b015_207,1,4,a,l_ɭ,caməɳəlaɭəŋaʈ,fp,a,1.323374130647571,1.4955230324729964,cˈaməɳəlaɭəŋaʈ,0.5031352454793674,2.1081705948517167,602,1629,683.539,1696.316,0.5969290950434573,0.21867624348372103,0.948635282179055,0.24649527870032686
b015_207,1,5,ə,ɭ_ŋ,caməɳəlaɭəŋaʈ,fp,ə,1.601850295365171,1.667671934298422,cˈaməɳəlaɭəŋaʈ,0.5031352454793674,2.1081705948517167,539,1576,537.383,1568.162,0.08774738941479919,0.07069713510622591,-0.25482212914603597,-0.1298344869017228
b015_207,1,6,a,ŋ_ʈ,caməɳəlaɭəŋaʈ,fp,a,1.7739991971905966,1.8550104451084437,cˈaməɳəlaɭəŋaʈ,0.5031352454793674,2.1081705948517167,617,1667,678.955,1705.282,0.718162834478852,0.32477447213173644,0.910890346811953,0.2728243256156626
b015_207,2,1,a,c_m,caməɳəlaɭəŋaʈ,fp,ˈa,3.211948847732385,3.3486553285937526,cˈaməɳəlaɭəŋaʈ,3.0448631489018254,4.356232724571978,721,1451,730.167,1456.58,1.5587167612309225,-0.27831019597277207,1.332573075873918,-0.45749985751370487
b015_207,2,2,ə,m_ɳ,caməɳəlaɭəŋaʈ,fp,ə,3.4094137645321383,3.4802986064602544,cˈaməɳəlaɭəŋaʈ,3.0448631489018254,4.356232724571978,448,1433,559.704,1471.61,-0.6477372964932625,-0.32856725164814776,-0.07102965481595536,-0.4133636122384985
b015_207,2,3,ə,ɳ_l,caməɳəlaɭəŋaʈ,fp,ə,3.5714362603678325,3.6828267262548726,cˈaməɳəlaɭəŋaʈ,3.0448631489018254,4.356232724571978,361,1821,437.4,1836.749,-1.3508929852185523,0.754751504021062,-1.0780882445057658,0.658882859055155
b015_207,2,4,a,l_ɭ,caməɳəlaɭəŋaʈ,fp,a,3.7587747711778543,3.854975628080298,cˈaməɳəlaɭəŋaʈ,3.0448631489018254,4.356232724571978,478,1688,544.126,1702.209,-0.4052698176224729,0.3834077037530081,-0.19929985620092924,0.26380032816185667
b015_207,2,5,ə,ɭ_ŋ,caməɳəlaɭəŋaʈ,fp,ə,3.941050078993011,4.006871717926262,cˈaməɳəlaɭəŋaʈ,3.0448631489018254,4.356232724571978,412,1599,495.797,1644.83,-0.9386982711382099,0.13491448402476153,-0.5972437875614638,0.095304412150807
b015_207,2,6,a,ŋ_ʈ,caməɳəlaɭəŋaʈ,fp,a,4.057503747874916,4.184083822746553,cˈaməɳəlaɭəŋaʈ,3.0448631489018254,4.356232724571978,681,1670,626.252,1674.996,1.2354267894032032,0.3331506480776324,0.47693063288254617,0.1838881762873263
